group,team1,team2,expected_goals_team1,expected_goals_team2,prob_team1_win_90,prob_draw_90,prob_team2_win_90,prob_team1_advance_knockout,prob_team2_advance_knockout
A,Mexico,Czechia,2.0123772701797282,0.8275781986113816,0.6501291379321922,0.20458158373336807,0.14528927833443941,0.801994414711557,0.19800558528844303
A,Mexico,South Africa,2.7775831700094598,0.5956666903735635,0.825780970094872,0.11925744858496472,0.05496158132016356,0.9289796318564291,0.07102036814357093
A,Mexico,South Korea,1.7896700092189186,0.9263891178111673,0.5771394576594214,0.2305291385427224,0.19233140379785635,0.7352489976542884,0.2647510023457116
A,South Africa,Czechia,0.9325112970935806,1.7882057900390385,0.19393176849020755,0.2307814953303693,0.5752867361794236,0.2667578128947415,0.7332421871052586
A,South Africa,South Korea,0.8293114449246205,2.0017134176307474,0.14673183941671697,0.20575478696394706,0.6475133736193356,0.20003415628586746,0.7999658437141326
A,South Korea,Czechia,1.45025453298674,1.1521880990996898,0.43939370712029063,0.2602925059077958,0.30031378697191335,0.5871997119258581,0.41280028807414193
B,Bosnia and Herzegovina,Qatar,1.7044011070806664,0.9749729363441183,0.5451120875593848,0.23969085299134418,0.21519705944927095,0.7032581731321189,0.2967418268678811
B,Bosnia and Herzegovina,Switzerland,0.7712806034349389,2.1650463646801534,0.11999003873384236,0.1862844943351962,0.6937254669309609,0.16200536624231,0.83799463375769
B,Canada,Bosnia and Herzegovina,1.972514844121573,0.8427665528816205,0.6381253504373673,0.20931131528383223,0.1525633342788003,0.7915900558139177,0.20840994418608227
B,Canada,Qatar,2.6085808732651317,0.6375467991537915,0.7956010623218535,0.1361138724798407,0.0682850651983061,0.9105993418210517,0.08940065817894827
B,Canada,Switzerland,1.1804426913843515,1.4157504566200578,0.313984666648245,0.26196289709127607,0.42405243626047906,0.4307600014742385,0.5692399985257615
B,Qatar,Switzerland,0.583468195656337,2.863196975915262,0.05005617544099663,0.11189403553593424,0.8380497890230694,0.06428000218159173,0.9357199978184083
C,Brazil,Haiti,2.9855171177570745,0.5604334681546442,0.8553787990138447,0.1014844924580014,0.043136708528154176,0.9451139189113227,0.05488608108867732
C,Brazil,Morocco,1.5780667971191296,1.0608995158625592,0.4933093069335809,0.2514390834843062,0.25525160958211296,0.6482149169447411,0.3517850830552589
C,Brazil,Scotland,1.9247499768854537,0.8682110206462045,0.6216823947958641,0.2151567369644772,0.163160868239659,0.7767995415512465,0.22320045844875347
C,Haiti,Scotland,0.8314392939688336,1.9979150553011789,0.14755995918532272,0.20623497715936878,0.6462050636553085,0.20124203921663503,0.798757960783365
C,Morocco,Haiti,2.4413271249723856,0.6816816518452525,0.7616778325315027,0.1540443286547315,0.08427783881376566,0.8883288806889738,0.11167111931102625
C,Morocco,Scotland,1.5739130415338565,1.056046000702167,0.49341718734037393,0.25188980234494285,0.25469301031468305,0.6485741004316201,0.3514258995683799
D,Australia,Turkey,1.2507902330570089,1.325632269714496,0.34985039885376884,0.26509956627609726,0.38505003487013395,0.47785225215001426,0.5221477478499857
D,Paraguay,Australia,1.332974305382236,1.247425436830891,0.3877063029471646,0.2647926580413121,0.34750103901152324,0.5253182567033527,0.47468174329664725
D,Paraguay,Turkey,1.293559698600016,1.2829740741168956,0.36983419643278226,0.26531130396153013,0.36485449960568705,0.5031642016737626,0.49683579832623737
D,United States,Australia,1.4238387073979522,1.1752082561098505,0.4273339997468162,0.26154411168986524,0.3111218885633184,0.5730715325968098,0.42692846740319024
D,United States,Paraguay,1.3780202768518264,1.215393274898094,0.4064686980589744,0.2632624789454088,0.33026882299561655,0.5480190063266498,0.4519809936733502
D,United States,Turkey,1.3817373386417837,1.2086988767100701,0.4089030683861975,0.26330060608244166,0.3277963255313608,0.5511379719241092,0.4488620280758908
E,Curacao,Ecuador,0.6241980208302673,2.6697512940712023,0.0634319253212004,0.1300221521424049,0.8065459225363945,0.08262251498829036,0.9173774850117097
E,Curacao,Ivory Coast,0.7393238895828348,2.256981840637102,0.10669305034009319,0.17531331494648394,0.7179936347134228,0.14326525758201014,0.8567347424179899
E,Germany,Curacao,3.304774603332337,0.5089559897686785,0.8925138114463481,0.07808151825461979,0.02940467029903238,0.9634130955710145,0.03658690442898549
E,Germany,Ecuador,1.5923069995092693,1.0488505443061753,0.4997497295243745,0.2502770113471495,0.2499732591284757,0.6551919511200586,0.34480804887994143
E,Germany,Ivory Coast,1.8859890050937536,0.8866880736413061,0.608671667409207,0.21972240871614337,0.17160592387464976,0.7648940275196052,0.23510597248039478
E,Ivory Coast,Ecuador,1.0874593320185861,1.5235900148457906,0.27088787050653257,0.25588578144215063,0.473226348051317,0.3734045313520272,0.6265954686479728
F,Japan,Sweden,1.9151134187596506,0.8752456173890789,0.6178593445768568,0.21637731552475503,0.16576333989838812,0.7730374112111036,0.2269625887888964
F,Japan,Tunisia,2.620320172690837,0.6337885697576771,0.797989194766448,0.13484105126167165,0.06716975397188041,0.9121139659365176,0.08788603406348239
F,Netherlands,Japan,1.333571522638765,1.2486136346472707,0.3876129494694509,0.26468975572839165,0.34769729480215733,0.5253229915430045,0.47467700845699545
F,Netherlands,Sweden,1.9858125383326002,0.8497388099234311,0.6391777271971135,0.20820882339904676,0.1526134494038397,0.7919275081218408,0.20807249187815924
F,Netherlands,Tunisia,2.7170529966551036,0.6153184138362324,0.8144163236170542,0.12552869667190691,0.060054979711038715,0.9220243224517399,0.07797567754826007
F,Sweden,Tunisia,1.7832479827033725,0.9437703693509385,0.5713609833578875,0.2314619377805957,0.19717707886151667,0.7287698355407348,0.2712301644592652
G,Belgium,Egypt,1.7226756557313534,0.9641540888897215,0.552130009015437,0.2377934564767518,0.21007653450781122,0.7104467307415839,0.28955326925841607
G,Belgium,Iran,1.5408218986360467,1.0826277622660552,0.4787562822478463,0.25445009047921624,0.2667936272729374,0.6322371036779704,0.36776289632202963
G,Belgium,New Zealand,2.272700706336336,0.7358731845690291,0.7215515202686978,0.17356826250049637,0.10488021723080597,0.8593130924251132,0.14068690757488678
G,Egypt,Iran,1.1502257572695853,1.4439989426483393,0.3009271243465771,0.26086573783563966,0.43820713781778314,0.41391303331261897,0.586086966687381
G,Egypt,New Zealand,1.696574336921666,0.9815008791357881,0.5416348037597379,0.2404985369287299,0.217866659311532,0.6994589981579171,0.3005410018420829
G,Iran,New Zealand,1.905046609318073,0.877889022853177,0.6150201850828473,0.21749764570644908,0.167482169210703,0.7704923758377789,0.22950762416222115
H,Cape Verde,Saudi Arabia,1.4417863877075436,1.1565545091732143,0.4362019327370151,0.2608210411478859,0.3029770261150986,0.5833167820047941,0.4166832179952059
H,Cape Verde,Uruguay,0.9264098101740335,1.7950825673401611,0.19164347970373516,0.22997596723858185,0.5783805530576831,0.2634297037925886,0.7365702962074114
H,Saudi Arabia,Uruguay,0.8295707878719776,2.003870027074907,0.14656450561162965,0.20554272502736776,0.6478927693610028,0.1997849195147708,0.8002150804852293
H,Spain,Cape Verde,2.9982335289028743,0.5542045807259555,0.8577848948511296,0.10013395989103346,0.04208114525783679,0.9465318019198469,0.05346819808015313
H,Spain,Saudi Arabia,3.3469604195654754,0.4962727354848733,0.8976634749277952,0.07487050396912981,0.027466021103075017,0.9659380108975631,0.03406198910243685
H,Spain,Uruguay,2.150566126428572,0.7702624727579447,0.6912645447627223,0.18768446004010092,0.12105099519717667,0.8363433069448916,0.16365669305510844
